Municipality[a],CBS code[2],Province,Population[b][26],Population density[c][26],Land area[d][26]
Groningen,14,Groningen,"234,950","1,266/km2 (3,280/sq mi)",185.53 km2 (71.63 sq mi)
Gulpen-Wittem,1729,Limburg,"14,178",194/km2 (500/sq mi),73.38 km2 (28.33 sq mi)
Haaksbergen,158,Overijssel,"24,268",232/km2 (600/sq mi),104.48 km2 (40.34 sq mi)
Haarlem,392,North Holland,"162,898","5,576/km2 (14,440/sq mi)",29.91 km2 (11.55 sq mi)
Haarlemmermeer,394,North Holland,"159,336","808/km2 (2,090/sq mi)",197.71 km2 (76.34 sq mi)
Halderberge,1655,North Brabant,"30,770","413/km2 (1,070/sq mi)",74.44 km2 (28.74 sq mi)
Hardenberg,160,Overijssel,"61,798",198/km2 (510/sq mi),312.26 km2 (120.56 sq mi)
Harderwijk,243,Gelderland,"48,857","1,255/km2 (3,250/sq mi)",38.82 km2 (14.99 sq mi)
Hardinxveld-Giessendam,523,South Holland,"18,511","1,098/km2 (2,840/sq mi)",16.66 km2 (6.43 sq mi)
Harlingen,72,Friesland,"15,904","637/km2 (1,650/sq mi)",24.46 km2 (9.44 sq mi)
Hattem,244,Gelderland,"12,307","533/km2 (1,380/sq mi)",23.37 km2 (9.02 sq mi)
Heemskerk,396,North Holland,"39,189","1,437/km2 (3,720/sq mi)",27.77 km2 (10.72 sq mi)
Heemstede,397,North Holland,"27,557","3,005/km2 (7,780/sq mi)",9.97 km2 (3.85 sq mi)
Heerde,246,Gelderland,"18,976",242/km2 (630/sq mi),78.85 km2 (30.44 sq mi)
Heerenveen,74,Friesland,"51,119",269/km2 (700/sq mi),189.97 km2 (73.35 sq mi)
Heerlen,917,Limburg,"86,845","1,934/km2 (5,010/sq mi)",44.41 km2 (17.15 sq mi)
Heeze-Leende,1658,North Brabant,"16,470",158/km2 (410/sq mi),103.32 km2 (39.89 sq mi)
Heiloo,399,North Holland,"24,417","1,305/km2 (3,380/sq mi)",18.81 km2 (7.26 sq mi)
Hellendoorn,163,Overijssel,"35,940",261/km2 (680/sq mi),137.73 km2 (53.18 sq mi)
Helmond,794,North Brabant,"93,476","1,758/km2 (4,550/sq mi)",53.37 km2 (20.61 sq mi)
Hendrik-Ido-Ambacht,531,South Holland,"31,663","3,108/km2 (8,050/sq mi)",10.09 km2 (3.90 sq mi)
Hengelo,164,Overijssel,"81,476","1,339/km2 (3,470/sq mi)",60.04 km2 (23.18 sq mi)
s-Hertogenbosch,796,North Brabant,"156,538","1,430/km2 (3,700/sq mi)",109.98 km2 (42.46 sq mi)
Het Hogeland,1966,Groningen,"48,022",101/km2 (260/sq mi),476.64 km2 (184.03 sq mi)
Heumen,252,Gelderland,"17,175","432/km2 (1,120/sq mi)",39.93 km2 (15.42 sq mi)
Heusden,797,North Brabant,"45,557","578/km2 (1,500/sq mi)",78.86 km2 (30.45 sq mi)
Hillegom,534,South Holland,"22,312","1,736/km2 (4,500/sq mi)",12.26 km2 (4.73 sq mi)
Hilvarenbeek,798,North Brabant,"15,810",167/km2 (430/sq mi),94.47 km2 (36.48 sq mi)
Hilversum,402,North Holland,"91,733","2,013/km2 (5,210/sq mi)",45.58 km2 (17.60 sq mi)
Hoeksche Waard,1963,South Holland,"88,715",330/km2 (850/sq mi),268.84 km2 (103.80 sq mi)
Hof van Twente,1735,Overijssel,"35,056",165/km2 (430/sq mi),212.23 km2 (81.94 sq mi)
Hollands Kroon,1911,North Holland,"48,778",136/km2 (350/sq mi),357.73 km2 (138.12 sq mi)
Hoogeveen,118,Drenthe,"55,857","438/km2 (1,130/sq mi)",127.74 km2 (49.32 sq mi)
Hoorn,405,North Holland,"74,298","3,647/km2 (9,450/sq mi)",20.07 km2 (7.75 sq mi)
Horst aan de Maas,1507,Limburg,"43,039",228/km2 (590/sq mi),188.87 km2 (72.92 sq mi)
Houten,321,Utrecht,"50,323","917/km2 (2,380/sq mi)",54.4 km2 (21.00 sq mi)
Huizen,406,North Holland,"40,938","2,589/km2 (6,710/sq mi)",15.51 km2 (5.99 sq mi)
Hulst,677,Zeeland,"27,533",137/km2 (350/sq mi),201.16 km2 (77.67 sq mi)
IJsselstein,353,Utrecht,"33,429","1,591/km2 (4,120/sq mi)",21.11 km2 (8.15 sq mi)
Kaag en Braassem,1884,South Holland,"27,895","442/km2 (1,140/sq mi)",63.33 km2 (24.45 sq mi)
Kampen,166,Overijssel,"54,791","388/km2 (1,000/sq mi)",141.13 km2 (54.49 sq mi)
Kapelle,678,Zeeland,"13,020",351/km2 (910/sq mi),37.73 km2 (14.57 sq mi)
Katwijk,537,South Holland,"66,032","2,662/km2 (6,890/sq mi)",24.41 km2 (9.42 sq mi)
Kerkrade,928,Limburg,"45,324","2,069/km2 (5,360/sq mi)",21.11 km2 (8.15 sq mi)
Koggenland,1598,North Holland,"23,048",287/km2 (740/sq mi),80.06 km2 (30.91 sq mi)
Krimpen aan den IJssel,542,South Holland,"29,415","3,833/km2 (9,930/sq mi)",7.77 km2 (3.00 sq mi)
Krimpenerwaard,1931,South Holland,"57,062","385/km2 (1,000/sq mi)",148.82 km2 (57.46 sq mi)
Laarbeek,1659,North Brabant,"22,943","414/km2 (1,070/sq mi)",55.55 km2 (21.45 sq mi)
Land van Cuijk,1982,North Brabant,"90,707",266/km2 (690/sq mi),341.16 km2 (131.72 sq mi)
Landgraaf,882,Limburg,"37,023","1,506/km2 (3,900/sq mi)",24.48 km2 (9.45 sq mi)
Landsmeer,415,North Holland,"11,560","515/km2 (1,330/sq mi)",22.24 km2 (8.59 sq mi)
Lansingerland,1621,South Holland,"64,110","1,203/km2 (3,120/sq mi)",53.37 km2 (20.61 sq mi)
Laren,417,North Holland,"11,528","929/km2 (2,410/sq mi)",12.21 km2 (4.71 sq mi)
Leeuwarden,80,Friesland,"125,504","528/km2 (1,370/sq mi)",237.75 km2 (91.80 sq mi)
Leiden,546,South Holland,"125,074","5,724/km2 (14,830/sq mi)",21.15 km2 (8.17 sq mi)
Leiderdorp,547,South Holland,"27,464","2,389/km2 (6,190/sq mi)",11.1 km2 (4.29 sq mi)
Leidschendam-Voorburg,1916,South Holland,"76,659","2,351/km2 (6,090/sq mi)",32.21 km2 (12.44 sq mi)
Lelystad,995,Flevoland,"81,214",355/km2 (920/sq mi),229 km2 (88.42 sq mi)
Leudal,1640,Limburg,"35,928",221/km2 (570/sq mi),162.21 km2 (62.63 sq mi)
Leusden,327,Utrecht,"30,713","525/km2 (1,360/sq mi)",58.81 km2 (22.71 sq mi)
Lingewaard,1705,Gelderland,"46,963","758/km2 (1,960/sq mi)",61.16 km2 (23.61 sq mi)
Lisse,553,South Holland,"23,015","1,466/km2 (3,800/sq mi)",15.5 km2 (5.98 sq mi)
Lochem,262,Gelderland,"34,069",160/km2 (410/sq mi),213.35 km2 (82.37 sq mi)
Loon op Zand,809,North Brabant,"23,768","476/km2 (1,230/sq mi)",49.92 km2 (19.27 sq mi)
Lopik,331,Utrecht,"14,512",192/km2 (500/sq mi),75.56 km2 (29.17 sq mi)
Losser,168,Overijssel,"23,084",234/km2 (610/sq mi),98.84 km2 (38.16 sq mi)
